unq_ID,site_type,total_N,total_C,total_S,Al,B,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,S,Zn
38_T2_7M_MEFE,Habitation,1,45,0.11,< DL,18,0.71,5.1,29,0.75,0.4,10000,< DL,3200,0.18,0.13,61
38_T2_7M_VAPA,Habitation,1,48,0.15,< DL,17,0.89,3.5,26,0.96,0.28,660,< DL,840,0.1,0.18,18
38_T2_14M_VAPA,Habitation,1.4,50,0.17,110,27,1.6,7.4,43,0.98,0.37,3800,< DL,140,0.17,0.18,34
38_T3_5M_GASH,Habitation,1.2,49,0.2,< DL,15,0.44,6.3,25,1.4,0.2,220,< DL,1200,0.21,0.24,31
38_T3_5M_MEFE,Habitation,1.2,46,0.12,< DL,15,0.81,4.8,41,0.56,0.51,8900,< DL,3400,0.19,0.14,75
38_T3_5M_VAPA,Habitation,1.7,49,0.16,68,14,1.1,5.6,37,0.68,0.39,1200,< DL,510,0.16,0.19,27
38_T3_14M_GASH,Habitation,0.98,50,0.17,< DL,9,0.49,4.5,16,1.1,0.19,290,< DL,1000,0.13,0.2,17
38_T3_14M_MEFE,Habitation,1.3,47,0.12,< DL,11,0.6,3.2,32,0.52,0.57,1300,< DL,1800,0.16,0.14,51
38C_T1_7M_GASH,Control,0.97,50,0.15,40,12,0.43,4,19,1.1,0.2,410,< DL,640,0.13,0.18,16
38C_T1_7M_MEFE,Control,1.2,44,0.15,41,25,0.89,5.5,46,1.3,0.65,6200,< DL,2000,0.17,0.18,85
38C_T1_7M_VAPA,Control,1.5,47,0.21,210,19,1.6,5.1,47,1.1,0.37,1100,< DL,510,0.13,0.24,20
38C_T1_13M_MEFE,Control,1.2,47,0.17,31,24,0.5,3.9,47,0.49,0.61,4000,< DL,2400,0.11,0.18,53
38C_T2_6M_GASH,Control,0.91,50,0.14,< DL,11,0.31,3.1,16,0.93,0.2,130,< DL,660,0.13,0.17,13
38C_T2_6M_MEFE,Control,1.1,48,0.14,< DL,21,0.73,5.8,24,1.3,0.66,2200,< DL,3100,0.13,0.16,72
38C_T2_6M_VAPA,Control,1.8,48,0.35,< DL,21,1.3,6.8,38,0.98,0.27,620,< DL,380,0.17,0.39,17
38C_T2_14M_GASH,Control,1.1,53,0.17,< DL,12,0.43,2.3,16,0.92,0.23,92,< DL,790,0.12,0.18,14
38C_T2_14M_VAPA,Control,1.3,49,0.27,40,33,0.74,5.1,30,1.3,0.33,150,< DL,420,0.13,0.32,12
38C_T3_5M_GASH,Control,1.1,50,0.18,< DL,13,0.41,3.2,16,1.2,0.19,110,< DL,680,0.15,0.21,16
38C_T3_5M_VAPA,Control,1.6,48,0.28,200,19,1.4,4.4,44,1.3,0.41,490,< DL,420,0.14,0.34,14
38C_T3_12M_MEFE,Control,1.1,45,0.16,44,24,0.71,6.3,32,1.4,0.48,3300,< DL,3300,0.13,0.19,68
19_T1_5M_GASH,Habitation,1.2,51,0.2,< DL,16,0.74,4.8,21,0.87,0.16,280,< DL,990,0.17,0.23,20
19_T1_5M_VAPA,Habitation,1.8,48,0.18,55,34,1.3,6.3,44,1.6,0.35,900,< DL,520,0.15,0.23,16
19_T1_10M_GASH,Habitation,0.95,49,0.19,< DL,16,0.48,2.9,14,1.1,0.26,290,< DL,1400,0.14,0.21,14
19_T1_10M_MEFE,Habitation,1.3,44,0.12,< DL,25,0.78,5.5,33,1.7,0.63,5500,< DL,1200,0.18,0.16,73
19_T1_10M_VAPA,Habitation,1.9,48,0.29,34,27,0.89,6.7,43,1.7,0.39,490,< DL,620,0.13,0.34,11
19_T2_5M_VAPA,Habitation,2.2,48,0.19,130,31,1.1,8,61,1.7,0.26,1300,< DL,550,0.15,0.22,14
19_T2_10M_GASH,Habitation,1.2,49,0.18,< DL,14,0.45,5.4,22,1.2,0.22,430,< DL,1200,0.17,0.22,19
19_T2_10M_MEFE,Habitation,1.4,42,0.12,< DL,23,1.2,6,47,1.7,0.73,10000,< DL,4000,0.13,0.14,100
19_T3_5M_GASH,Habitation,1.1,50,0.17,< DL,13,0.42,4.2,21,1.1,0.2,130,< DL,840,0.16,0.2,24
19_T3_5M_MEFE,Habitation,1.3,44,0.13,< DL,22,0.82,5.7,31,1,0.71,1700,< DL,2300,0.13,0.14,64
19_T3_10M_MEFE,Habitation,1.7,43,0.14,40,23,1,4.5,53,1.8,0.72,11000,< DL,2600,0.18,0.17,110
19_T3_10M_VAPA,Habitation,1.9,47,0.22,62,17,1.1,8,60,1.7,0.22,810,< DL,1000,0.096,0.21,12
19C_T1_5M_VAPA,Control,1.5,49,0.18,64,20,0.89,4.6,31,1,0.26,320,< DL,82,0.11,0.21,11
19C_T1_10M_GASH,Control,0.86,50,0.11,< DL,10,0.5,3,14,0.81,0.23,410,< DL,460,0.1,0.14,15
19C_T1_10M_MEFE,Control,1.1,45,0.098,< DL,16,0.71,3.9,34,0.33,0.7,3300,< DL,1600,0.096,0.11,82
19C_T1_10M_VAPA,Control,1.4,49,0.2,79,21,1,5,37,0.8,0.3,650,< DL,95,0.1,0.24,14
19C_T2_5M_MEFE,Control,1.3,45,0.13,< DL,20,0.42,6.5,61,0.85,0.55,6700,< DL,2300,0.13,0.15,62
19C_T2_5M_VAPA,Control,1.8,49,0.21,240,23,0.98,5.7,44,1,0.23,1700,1,180,0.11,0.23,14
19C_T2_10M_GASH,Control,1.2,49,0.16,< DL,12,0.5,4.2,20,1.2,0.2,550,< DL,340,0.14,0.19,18
19C_T2_10M_VAPA,Control,2,48,0.19,120,15,0.95,7.8,50,1.2,0.19,2600,< DL,88,0.12,0.22,10
19C_T3_5M_GASH,Control,0.86,49,0.13,< DL,10,0.55,2.9,14,0.84,0.26,720,< DL,300,0.11,0.15,17
19C_T3_5M_MEFE,Control,1.1,45,0.15,< DL,16,0.67,3.6,27,0.6,0.6,10000,< DL,2300,0.11,0.17,64
19C_T3_10M_GASH,Control,0.96,49,0.17,< DL,13,0.56,3.9,17,1.2,0.28,710,< DL,420,0.13,0.2,16
19C_T3_10M_MEFE,Control,1.1,43,0.16,< DL,16,0.71,2.9,25,0.98,0.59,12000,< DL,3400,0.12,0.18,69
19C_T1_5M_GASH (Former 157),Control,0.85,49,0.13,< DL,11,0.5,3.2,14,0.87,0.22,300,< DL,450,0.11,0.16,14
